Código da Emenda;Ano da Emenda;Nome do Autor da Emenda;Número da emenda;Valor Empenhado;Valor Pago;Tipo de Emenda;Data Documento;Município de aplicação do recurso;Código IBGE do município de aplicação do recurso;Fase da despesa;Favorecido;Órgão Superior;Grupo Despesa;Elemento Despesa;Função;SubFunção;Ação;Possui convênio?
202439050008;2024;ALENCAR SANTANA;0008;0.0;300000.0;Emenda Individual - Transferências com Finalidade Definida;18/06/2024;FERRAZ DE VASCONCELOS;3515707;Pagamento;BANCO DO BRASIL SA;Ministério da Saúde;Outras Despesas Correntes;Contribuições;Múltiplo;Múltiplo;Múltiplo;NÃO
202360110003;2023;COM. DESENV REGIONAL E TURISMO;0003;0.0;0.0;Emenda de Comissão;02/08/2024;FERRAZ DE VASCONCELOS;3515707;Liquidação;Sem informação;Ministério das Cidades;Múltiplo;Múltiplo;Múltiplo;Múltiplo;Múltiplo;NÃO
202419970003;2024;VICENTINHO;0003;0.0;0.0;Emenda Individual - Transferências com Finalidade Definida;17/05/2024;FERRAZ DE VASCONCELOS;3515707;Liquidação;BANCO DO BRASIL SA;Ministério da Saúde;Outras Despesas Correntes;Contribuições;Múltiplo;Múltiplo;Múltiplo;NÃO
202419970003;2024;VICENTINHO;0003;0.0;150000.0;Emenda Individual - Transferências com Finalidade Definida;20/05/2024;FERRAZ DE VASCONCELOS;3515707;Pagamento;BANCO DO BRASIL SA;Ministério da Saúde;Outras Despesas Correntes;Contribuições;Múltiplo;Múltiplo;Múltiplo;NÃO
202431350002;2024;ARLINDO CHINAGLIA;0002;0.0;0.0;Emenda Individual - Transferências com Finalidade Definida;03/07/2024;FERRAZ DE VASCONCELOS;3515707;Liquidação;BANCO DO BRASIL SA;Ministério da Saúde;Investimentos;Auxílios;Múltiplo;Múltiplo;Múltiplo;NÃO
202431350002;2024;ARLINDO CHINAGLIA;0002;0.0;100000.0;Emenda Individual - Transferências com Finalidade Definida;04/07/2024;FERRAZ DE VASCONCELOS;3515707;Pagamento;BANCO DO BRASIL SA;Ministério da Saúde;Investimentos;Auxílios;Múltiplo;Múltiplo;Múltiplo;NÃO
202419970002;2024;VICENTINHO;0002;0.0;99890.0;Emenda Individual - Transferências com Finalidade Definida;04/07/2024;FERRAZ DE VASCONCELOS;3515707;Pagamento;BANCO DO BRASIL SA;Ministério da Saúde;Investimentos;Auxílios;Múltiplo;Múltiplo;Múltiplo;NÃO
202419970002;2024;VICENTINHO;0002;0.0;0.0;Emenda Individual - Transferências com Finalidade Definida;03/07/2024;FERRAZ DE VASCONCELOS;3515707;Liquidação;BANCO DO BRASIL SA;Ministério da Saúde;Investimentos;Auxílios;Múltiplo;Múltiplo;Múltiplo;NÃO
202443460001;2024;DELEGADO DA CUNHA;0001;0.0;0.0;Emenda Individual - Transferências com Finalidade Definida;17/05/2024;FERRAZ DE VASCONCELOS;3515707;Liquidação;BANCO DO BRASIL SA;Ministério da Saúde;Outras Despesas Correntes;Contribuições;Múltiplo;Múltiplo;Múltiplo;NÃO
202443460001;2024;DELEGADO DA CUNHA;0001;0.0;1000000.0;Emenda Individual - Transferências com Finalidade Definida;20/05/2024;FERRAZ DE VASCONCELOS;3515707;Pagamento;BANCO DO BRASIL SA;Ministério da Saúde;Outras Despesas Correntes;Contribuições;Múltiplo;Múltiplo;Múltiplo;NÃO
202450410002;2024;COM. DA SAUDE;0002;0.0;0.0;Emenda de Comissão;25/06/2024;FERRAZ DE VASCONCELOS;3515707;Liquidação;BANCO DO BRASIL SA;Ministério da Saúde;Outras Despesas Correntes;Contribuições;Múltiplo;Múltiplo;Múltiplo;NÃO
202444680003;2024;RODRIGO GAMBALE;0003;0.0;615934.0;Emenda Individual - Transferências com Finalidade Definida;23/05/2024;FERRAZ DE VASCONCELOS;3515707;Pagamento;BANCO DO BRASIL SA;Ministério da Saúde;Outras Despesas Correntes;Contribuições;Múltiplo;Múltiplo;Múltiplo;NÃO
202444680003;2024;RODRIGO GAMBALE;0003;0.0;0.0;Emenda Individual - Transferências com Finalidade Definida;22/05/2024;FERRAZ DE VASCONCELOS;3515707;Liquidação;BANCO DO BRASIL SA;Ministério da Saúde;Outras Despesas Correntes;Contribuições;Múltiplo;Múltiplo;Múltiplo;NÃO
202450410002;2024;COM. DA SAUDE;0002;0.0;1773933.0;Emenda de Comissão;26/06/2024;FERRAZ DE VASCONCELOS;3515707;Pagamento;BANCO DO BRASIL SA;Ministério da Saúde;Outras Despesas Correntes;Contribuições;Múltiplo;Múltiplo;Múltiplo;NÃO
