processo;arquivo;descricao;unidade;quantidade;valor_unitario;valor_total;vencedor;cnpj_vencedor
00038;7609.xlsx;LOCACAO DE LONAS FECHAMENTO 5X5 Lona KP 1000 na cor branca auto extinguivel, anti -chamas, antimofo,;UN;250.0;370.0;92500.0;Hdf-locacao de Estruturas e Eventos Eirel;13.104.368/0001-41
00038;7609.xlsx;LOCACAO DE MESA Mesa em PVC 0,7mX0,7m na cor branca. As pecas dev erao estar em perfeito estado de c;UN;750.0;13.44;10080.0;Pilar Organizacoes e Festas Ltda;20.489.773/0001-90
00038;7609.xlsx;LOCACAO DE PAINEL DE LED TIPO 1 P5 - PAINEL DE LED DE ALTA DEFINICAO PARA INDOOR/ OUTDOOR,  Especifi;M2;1500.0;227.0;340500.0;Expansom Promocoes e Eventos Ltda;67.181.578/0001-62
00038;7609.xlsx;LOCACAO DE PALCO 12X8 PALCO MEDINDO 12,00 M DE FRENTE POR 8,00 M DE PRO FUNDIDADE, com fechamentos l;UN;3.0;7600.0;22800.0;Hdf-locacao de Estruturas e Eventos Eirel;13.104.368/0001-41
00038;7609.xlsx;LOCACAO DE PALCO 16X12 PALCO MEDINDO 16,00 M DE FRENTE POR 12,00 M DE PR OFUNDIDADE, com fechamentos;UN;3.0;19030.0;57090.0;Hdf-locacao de Estruturas e Eventos Eirel;13.104.368/0001-41
00038;7609.xlsx;LOCACAO DE PALCO 5X4 PALCO MEDINDO 5,00 M DE FRENTE POR 4,00 M de prof undidade, com fechamentos lat;UN;40.0;4750.0;190000.0;Hdf-locacao de Estruturas e Eventos Eirel;13.104.368/0001-41
00038;7609.xlsx;LOCACAO DE PALCO 8X6 Palco medindo 8,00 m de frente por 6,00 m de prof undidade, com fechamentos lat;UN;20.0;4750.5;95010.0;Hdf-locacao de Estruturas e Eventos Eirel;13.104.368/0001-41
00038;7609.xlsx;LOCACAO DE PASSA-CABOS Calha de fios 5 vias 30x30. Passa-cabos para prot ecao de cabos e fios ultrar;M;10000.0;18.0;180000.0;Expansom Promocoes e Eventos Ltda;67.181.578/0001-62
00038;7609.xlsx;LOCACAO DE PAVILHAO PE DIREITO 3M PAVILHAO PE DIREITO 3M . Em estrutura modular com 10m de largura c;M2;4000.0;23.5;94000.0;Hdf-locacao de Estruturas e Eventos Eirel;13.104.368/0001-41
00038;7609.xlsx;LOCACAO DE PAVILHAO PE DIREITO 6M PAVILHAO PE DIREITO 6M . Em estrutura modular com 20m de largura c;M2;10000.0;33.0;330000.0;Hdf-locacao de Estruturas e Eventos Eirel;13.104.368/0001-41
00038;7609.xlsx;LOCACAO DE PISO EASYFLOOR EM MODULOS MED.31,5X8,5 Peso de cada modulo: 125 g. Espessura: 1,8 cm. Ar ;M2;4000.0;28.5;114000.0;Hdf-locacao de Estruturas e Eventos Eirel;13.104.368/0001-41
00038;7609.xlsx;LOCACAO DE PORTAL DETECTOR DE METAIS Portal Detector de Metais Normas Tecnicas NBR 5.4 10 - Tecnolog;UN;8.0;2576.55;20612.4;Pilar Organizacoes e Festas Ltda;20.489.773/0001-90
