Nro Emenda;Data;Aplicação;Âmbito;Tipo;Destinação;Parlamentar;Descrição;Finalidade;Fundamento Legal;Orçado;Empenhado;Receita Recebida;Bancos Recebido
30/04/2026;8040088-Emenda Impositiva Loa/2026 Projeto de Lei 087/2025;MUNICIPAL;INDIVIDUAL (FINALIDADE DEFINIDA);CUSTEIO;ELIEL DE SOUZA;valor a ser utilizado para custeio, manutencao e desenvolvimento das atividades estatutarias da entidade, visando o atendimento na area da saude de pessoas com TEA Transtorno do Espectro Autista, entidade bene ficiaria Associacao Educacional Beneficente de Ferraz de Vasconcelos CNPJ n.03.601.048/0001-43.;valor a ser utilizado para custeio, manutencao e desenvolvimento das atividades estatutarias da entidade, visando o atendimento na area da saude de pessoas com TEA Transtorno do Espectro Autista, entidade bene ficiaria Associacao Educacional Beneficente de Ferraz de Vasconcelos CNPJ n.03.601.048/0001-43.;3642/2025;254176.47;0.0;0.0;0.0;0
30/04/2026;8040093-Emenda Impositiva Loa/2026 Projeto de Lei 087/2025;MUNICIPAL;INDIVIDUAL (FINALIDADE DEFINIDA);CUSTEIO;CLAUDIO ROBERTO SQUIZATO;valor a ser destinado para realizacao do evento do Dia Municipal do Reggae Music, com contratacao da Banda Ponto de Equilibrio.;valor a ser destinado para realizacao do evento do Dia Municipal do Reggae Music, com contratacao da Banda Ponto de Equilibrio.;3.642/2025;120000.0;120000.0;0.0;0.0;0
30/04/2026;8040095-Emenda Impositiva Loa/2026 Projeto de Lei 087/2025;MUNICIPAL;INDIVIDUAL (FINALIDADE DEFINIDA);CUSTEIO;DAVID F DOS SANTOS JUNIOR;Aquisição de materiais, adequação predial, entidade beneficiária AMAFV Associação das Mães dos Autistas  e Portadoras  do  TEA- Transtorno do Espectro Autista de Ferraz de Vasconcelos CNPJ n° 18.312.133/0001-69.;Aquisicao de materiais, adequacao predial, entidade beneficiaria AMAFV Associacao das Maes dos Autistas e Portadoras do TEA- Transtorno do Espectro Autista de Ferraz de Vasconcelos CNPJ n° 18.312.133/0001-69.;3642/2025;77000.0;0.0;0.0;0.0;0
30/04/2026;8040096-Emenda Impositiva Loa/2026 Projeto de Lei 087/2025;MUNICIPAL;INDIVIDUAL (FINALIDADE DEFINIDA);CUSTEIO;DAVID F DOS SANTOS JUNIOR;Custeio do RH (recursos humanos), objetivando manter o equilíbrio financeiro e funcionamento da organização, entidade beneficiária AMAFV Associação das Mães dos Autistas e Portadores do TEA- Transtorno do Espectro Autista de Ferraz de Vasconcelos CNPJ n° 18.312.133/0001-69.;Custeio do RH (recursos humanos), objetivando manter o equilibrio financeiro e funcionamento da organizacao, entidade beneficiaria AMAFV Associacao das Maes dos Autistas e Portadores do TEA- Transtorno do Espectro Autista de Ferraz de Vasconcelos CNPJ n° 18.312.133/0001-69.;3642/2025;33000.0;0.0;0.0;0.0;0
30/04/2026;8040097-Emenda Impositiva Loa/2026 Projeto de Lei 087/2025;MUNICIPAL;INDIVIDUAL (FINALIDADE DEFINIDA);CUSTEIO;DAVID F DOS SANTOS JUNIOR;Custeio do RH (recursos humanos), objetivando manter o equilibrio financeiro e funcionamento da organizacao, entidade beneficiaria Associacao de Pais e Amigos dos Excepcionais de Ferraz de Vasconcelos CNPJ n° 07.029.546/0001-14.;Custeio do RH (recursos humanos), objetivando manter o equilibrio financeiro e funcionamento da organizacao, entidade beneficiaria Associacao de Pais e Amigos dos Excepcionais de Ferraz de Vasconcelos CNPJ n° 07.029.546/0001-14.;3642/2025;21000.0;0.0;0.0;0.0;0
30/04/2026;8040098-Emenda Impositiva Loa/2026 Projeto de Lei 087/2025;MUNICIPAL;INDIVIDUAL (FINALIDADE DEFINIDA);CUSTEIO;DAVID F DOS SANTOS JUNIOR;Valor destinado para infraestrutura da APAE, incluindo reforma, ampliacao, adequacao fisica, acessibilidade, aquisicao de materiais permanentes e melhorias estruturais necessarias ao atendimento da entidade, entidade beneficiaria Associacao de Pais e Amigos dos Excepcionais de Ferraz de Vasconcelos CNPJ n° 07.029.546/0001-14.;Valor destinado para infraestrutura da APAE, incluindo reforma, ampliacao, adequacao fisica, acessibilidade, aquisicao de materiais permanentes e melhorias estruturais necessarias ao atendimento da entidade, entidade beneficiaria Associacao de Pais e Amigos dos Excepcionais de Ferraz de Vasconcelos CNPJ n° 07.029.546/0001-14.;3642/2025;48000.0;0.0;0.0;0.0;0
30/04/2026;8040110-Emenda Impositiva Loa/2026 Projeto de Lei 087/2025;MUNICIPAL;INDIVIDUAL (FINALIDADE DEFINIDA);CUSTEIO;RENATO RAMOS DE SOUZA;Ampliacao dos atendimentos clinicos e laboratoriais atraves de aquisicao de materiais e adequacao predial da unidade, entidade beneficiaria AMAFV Associacao das Maes dos Autistas e Portadores do TEA- Transtorno do Espectro Autista de Ferraz de Vasconcelos CNPJ n° 18.312.133/0001-69.;Ampliacao dos atendimentos clinicos e laboratoriais atraves de aquisicao de materiais e adequacao predial da unidade, entidade beneficiaria AMAFV Associacao das Maes dos Autistas e Portadores do TEA- Transtorno do Espectro Autista de Ferraz de Vasconcelos CNPJ n° 18.312.133/0001-69.;3642/2025;77000.0;0.0;0.0;0.0;0
30/04/2026;8040111-Emenda Impositiva Loa/2026 Projeto de Lei 087/2025;MUNICIPAL;INDIVIDUAL (FINALIDADE DEFINIDA);CUSTEIO;RENATO RAMOS DE SOUZA;Custeio do RH (recursos humanos), objetivando manter as condições mínimas de equilfbrio financeiros e funcionamento da organização, entidade beneficia.a AMAFV Associação das Mães dos Autistas e Portadores do TEA- Transtorno do Espectro Autista de Ferraz de Vasconcelos CNPJ n° 18.312.133/0001-69.;Custeio do RH (recursos humanos), objetivando manter as condições mínimas de equilfbrio financeiros e funcionamento da organização, entidade beneficia.a AMAFV Associação das Mães dos Autistas e Portadores do TEA- Transtorno do Espectro Autista de Ferraz de Vasconcelos CNPJ n° 18.312.133/0001-69.;3642/2025;33000.0;0.0;0.0;0.0;0
30/04/2026;8040112-Emenda Impositiva Loa/2026 Projeto de Lei 087/2025;MUNICIPAL;INDIVIDUAL (FINALIDADE DEFINIDA);INVESTIMENTO;RENATO RAMOS DE SOUZA;Aquisicao de veiculo, modelo hatch popular, cinco lugares, modelo de motor entre 1.0 e 1.5, para transporte dos profissionais da Estrategia da Saude Familiar, proporcionando melhores condicoes de mobilidade dos profissionais.;Aquisicao de veiculo, modelo hatch popular, cinco lugares, modelo de motor entre 1.0 e 1.5, para transporte dos profissionais da Estrategia da Saude Familiar, proporcionando melhores condicoes de mobilidade dos profissionais.;3642/2025;50000.0;0.0;0.0;0.0;0
30/04/2026;8040113-Emenda Impositiva Loa/2026 Projeto de Lei 087/2025;MUNICIPAL;INDIVIDUAL (FINALIDADE DEFINIDA);CUSTEIO;RENATO RAMOS DE SOUZA;custeio do RH (recursos humanos), objetivando manter o equilibrio financeiros e funcionamento da organizacao, entidade beneficiaria Associacao de Pais e Amigos dos Excepcionais de Ferraz de Vasconcelos CNPJ n° 07.029.546/0001-14.;custeio do RH (recursos humanos), objetivando manter o equilibrio financeiros e funcionamento da organizacao, entidade beneficiaria Associacao de Pais e Amigos dos Excepcionais de Ferraz de Vasconcelos CNPJ n° 07.029.546/0001-14.;3642/2025;21000.0;0.0;0.0;0.0;0
30/04/2026;8040114-Emenda Impositiva Loa/2026 Projeto de Lei 087/2025;MUNICIPAL;INDIVIDUAL (FINALIDADE DEFINIDA);CUSTEIO;RENATO RAMOS DE SOUZA;Valor destinado para infraestrutura da APAE, incluindo reforma, ampliacao, adequacao fisica, acessibilidade, aquisicao de materiais permanentes e melhorias estruturais necessarias ao atendimento da entidade, entidade beneficiaria Associacao de Pais e Amigos dos Excepcionais de Ferraz de Vasconcelos CNPJ n° 07.029.546/0001-14.;Valor destinado para infraestrutura da APAE, incluindo reforma, ampliacao, adequacao fisica, acessibilidade, aquisicao de materiais permanentes e melhorias estruturais necessarias ao atendimento da entidade, entidade beneficiaria Associacao de Pais e Amigos dos Excepcionais de Ferraz de Vasconcelos CNPJ n° 07.029.546/0001-14.;3642/2025;48000.0;0.0;0.0;0.0;0
30/04/2026;8040117-Emenda Impositiva Loa/2026 Projeto de Lei 087/2025;MUNICIPAL;INDIVIDUAL (FINALIDADE DEFINIDA);CUSTEIO;RENATO RAMOS DE SOUZA;Aquisicao de Van para transporte dos musicos e instrumentos do Projeto Cordas que Restaram, entidade beneficiaria Organizacao Social de Estimulo a Educacao e Cultura no Brasil - OSSEC CNPJ n. 19.362.558/0002-26.;Aquisicao de Van para transporte dos musicos e instrumentos do Projeto Cordas que Restaram, entidade beneficiaria Organizacao Social de Estimulo a Educacao e Cultura no Brasil - OSSEC CNPJ n. 19.362.558/0002-26.;3642/2025;100000.0;0.0;0.0;0.0;0
30/04/2026;8040118-Emenda Impositiva Loa/2026 Projeto de Lei 087/2025;MUNICIPAL;INDIVIDUAL (FINALIDADE DEFINIDA);CUSTEIO;RENATO RAMOS DE SOUZA;Promocao e desenvolvimento do esporte (futebol), entidade beneficiaria Organizacao Social de Estimulo a Educacao e Cultura no Brasil OSSEC CNPJ n. 19.362.558/0002-26.;Promocao e desenvolvimento do esporte (futebol), entidade beneficiaria Organizacao Social de Estimulo a Educacao e Cultura no Brasil  OSSEC CNPJ n. 19.362.558/0002-26.;3642/25;20000.0;0.0;0.0;0.0;0
30/04/2026;8040120-Emenda Impositiva Loa/2026 Projeto de Lei 087/2025;MUNICIPAL;INDIVIDUAL (FINALIDADE DEFINIDA);CUSTEIO;RENATO RAMOS DE SOUZA;Fomento de atividades recreativas para terceira idade (60+), entidade beneficiaria Centro de Apoio Acao e Transformacao OIAEU CNPJ n° 04.407.319/0001-97.;Fomento de atividades recreativas para terceira idade (60+), entidade beneficiaria Centro de Apoio Acao e Transformacao OIAEU CNPJ n° 04.407.319/0001-97.;3642/2025;10000.0;0.0;0.0;0.0;0
