processo;arquivo;descricao;unidade;quantidade;valor_unitario;valor_total;vencedor;cnpj_vencedor
00032;11697.xlsx;FORCEPS ADULTO N.151 Fabricado em aco inoxidavel. Autoclavavel. Garantia: 10 anos, contra defeito de;UN;10.0;120.0;1200.0;Dental Prime-prod.odontologicos Medicos Hosp.;21.504.525/0001-34
00032;11697.xlsx;FORCEPS ADULTO N.16 Fabricado em aco inoxidavel. Autoclavavel. Garantia: 10 anos, contra defeito de ;UN;10.0;120.0;1200.0;Dental Prime-prod.odontologicos Medicos Hosp.;21.504.525/0001-34
00032;11697.xlsx;FORCEPS ADULTO N.17 Fabricado em aco inoxidavel. Autoclavavel. Garantia: 10 anos, contra defeito de ;UN;10.0;120.0;1200.0;Dental Prime-prod.odontologicos Medicos Hosp.;21.504.525/0001-34
00032;11697.xlsx;FORCEPS ADULTO N.18L Fabricado em aco inoxidavel. Autoclavavel. Garantia: 10 anos, contra defeito de;UN;10.0;120.0;1200.0;Dental Prime-prod.odontologicos Medicos Hosp.;21.504.525/0001-34
00032;11697.xlsx;FORCEPS ADULTO N.18R Fabricado em aco inoxidavel. Autoclavavel. Garantia: 10 anos, contra defeito de;UN;10.0;120.0;1200.0;Dental Prime-prod.odontologicos Medicos Hosp.;21.504.525/0001-34
00032;11697.xlsx;FORCEPS ADULTO N.68 Fabricado em aco inoxidavel. Autoclavavel. Garantia: 10 anos, contra defeito de ;UN;10.0;120.0;1200.0;Dental Prime-prod.odontologicos Medicos Hosp.;21.504.525/0001-34
00032;11697.xlsx;FORCEPS ADULTO N.69 Fabricado em aco inoxidavel. Autoclavavel. Garantia: 10 anos, contra defeito de ;UN;10.0;120.0;1200.0;Dental Prime-prod.odontologicos Medicos Hosp.;21.504.525/0001-34
00032;11697.xlsx;FORNECIMENTO DE REFEICOES AQUISICAO DE 3.000 (TRES MIL) MARMITEX DESTINADO A COORDENADORIA DE VIGILA;UN;1.0;52500.0;52500.0;Suzan Food Refeicoes e Alimentos Ltda;07.223.579/0001-09
00032;11697.xlsx;FOTOPOLIMERIZADORA- Indicado para: * Restauracoes diretas e indiretas. * Colagem de brackets e acess;UN;6.0;1600.0;9600.0;Dental Prime-prod.odontologicos Medicos Hosp.;21.504.525/0001-34
00032;11697.xlsx;KIT BAIXA ROTACAO Micromotor * Tipo de motor: Tipo 2 (Conforme ISO 3964). * Conexo tipo Borden (dois;UN;30.0;3350.0;100500.0;Dental Prime-prod.odontologicos Medicos Hosp.;21.504.525/0001-34
00032;11697.xlsx;LOCALIZADOR FORAMINAL Preciso e Compacto. * Canais secos ou umidos. * Tela de LCD colorida 3,5 poleg;UN;4.0;2250.0;9000.0;Dental Prime-prod.odontologicos Medicos Hosp.;21.504.525/0001-34
